,TUESDAY 4th,,,,,
19:45,Bournemouth,,,Brighton,Over 1.5 goals,60
19:45,Bournemouth,,,Brighton,Over 7.5 Corners,60
19:45,Leeds,,,Nottingham,Over 1.5 goals,60
19:45,Leicester,,,Aston Villa,Over 1.5 goals,60
19:45,Leicester,,,Aston Villa,Over 7.5 Corners,60
20:00,Chelsea,,,Liverpool,Over 1.5 goals,65
20:00,Chelsea,,,Liverpool,Over 7.5 Corners,65
,,,,,,
,Copa del Ray Semi,,,,,
20:00,Athleti Bilbao,,,Osasuna,1X & Under 4.5 goals,60
20:00,Athleti Bilbao,,,Osasuna,1X2 Corners - 1,60
,,,,,,
,Copa Italia Semi,,,,,
20:00,Juventus,,,Inter Milan,Under 3.5 goals,60
20:00,Juventus,,,Inter Milan,HT Under 1.5 goals,60
,,,,,,
,DFB Cup Quarter,,,,,
17:00,E. Frankfurt,,,Union Berlin,Over 1.5 goals,70
19:45,Bayern munich,,,Freiburg,1,80
,,,,,,
,KNVB Beker,,,,,
19:00,Spakenburg,,,PSV,Over 2.5 goals,80
,,,,,,
,Turkiye Cup,,,,,
18:30,Ankaragucu,,,Trabzonspor,X2,65
,,,,,,
,Bulgaria Cup,,,,,
15:00,Ludogorets,,,Spartak Varna,1X & Under 4.5,70
